step,Gt_log,Gt_log_EMA,Sm_log_avg,Sm_log_std,Sm_log_cls_avg,Sm_log_cls_avg_generic,Sm_raw_cls_avg,TaskHead_Sm_log_task,TaskHead_Sm_raw_task,lambda_max_est,lambda_max_EMA,gamma_t,noise_std,module_loss_avg,module_policy_loss_avg,module_pred_loss_avg,meta_loss,module_entropy_avg,module_grad_norm_avg,meta_grad_norm,cls_norm,cls_density,TaskCorrect,TaskAccuracy_Recent,OOD_Accuracy,OOD_Loss
200,1.2272040843963623,1.2316879335530968,1.2272040843963623,0.005526573396008752,1.2272040843963623,1.2244013547897339,2.4117295145988464,2.8904855251312256,17.00204849243164,NaN,-0.01,0.10541155189275742,0.049804,4256.010219037533,4254.3692626953125,1.6409224271774292,0.17042207717895508,-3400.0594482421875,179.4147408084032,7.183076275697433e-05,99.98110961914062,0.0498046875,0,0.0,NaN,NaN
400,1.2052900195121765,1.2165973933648573,1.2052900195121765,0.01903826025625855,1.2052900195121765,1.19523286819458,2.338334083557129,8.04901123046875,3129.69873046875,NaN,-0.01,0.10577009618282318,0.049608,4102.018844604492,4099.110107421875,2.908677488565445,0.16833409667015076,-3400.0594482421875,553.0066633431279,0.00029617564182541923,99.9704818725586,0.0498046875,0,0.015,NaN,NaN
600,1.1259298920631409,1.165258528257696,1.1259298920631409,0.07134397093633664,1.1259298920631409,1.0893874168395996,2.091010183095932,9.715564727783203,16572.578125,NaN,-0.01,0.10779562592506409,0.049412000000000005,3751.4819917678833,3748.236083984375,3.2459317445755005,0.16123054921627045,-3400.0594482421875,1298.1883166795928,0.0015533285694040836,99.97724914550781,0.0498046875,0,0.0,NaN,NaN
800,0.5847578570246696,0.872516184357421,0.5847578570246696,0.46311682921600894,0.5847578570246696,0.3678184747695923,1.0001419838517904,4.513180255889893,90.2114486694336,NaN,-0.01,0.11412621289491653,0.049216,1287.8762580156326,1286.4721069335938,1.4041589125990868,0.12072538584470749,-3400.0594482421875,46.21815685694299,0.0008575572608019184,99.97856140136719,0.0498046875,0,0.0,NaN,NaN
1000,0.3716793581843376,0.47041498072661964,0.3716793581843376,0.4988547162840915,0.3716793581843376,0.08370144665241241,0.6756338272243738,2.3619320392608643,9.611433029174805,NaN,-0.01,0.11541543900966644,0.04902,320.5829527974129,319.92969512939453,0.6532590910792351,0.06508880853652954,-3400.0594482421875,28.321752981557246,1.2608521148094445e-05,99.9811782836914,0.0498046875,0,0.0,NaN,NaN
1200,0.3434602338820696,0.38614979943075156,0.3434602338820696,0.5151476533126874,0.3434602338820696,0.04604041576385498,0.6455517672002316,9.206459045410156,9960.265625,NaN,-0.01,0.11545544862747192,0.048824000000000006,191.72253227233887,189.38638305664062,2.3361450750380754,0.053429488092660904,-3400.0594482421875,1.5193294500550811,4.2204815550750707e-07,99.98868560791016,0.0498046875,0,0.0,NaN,NaN
1400,0.33605827670544386,0.37811549529330385,0.33605827670544386,0.5193788286822847,0.33605827670544386,0.036195024847984314,0.6377956438809633,6.874703884124756,966.4887084960938,NaN,-0.01,0.11531345546245575,0.048628000000000005,159.22991025447845,157.4840850830078,1.7458222387358546,0.052317824214696884,-3400.0594482421875,3.725466766698652,3.77132316708058e-05,99.983642578125,0.0498046875,0,0.01,NaN,NaN
1600,0.33588941488415003,0.37417572701782625,0.33588941488415003,0.5195087750528713,0.33588941488415003,0.035951875150203705,0.637653642334044,6.817027568817139,912.2662963867188,NaN,-0.01,0.11514070630073547,0.048432,158.49682128429413,156.76559829711914,1.7312207976356149,0.051772695034742355,-3400.0594482421875,3.6444173065167114,2.0635445238784655e-05,99.98744201660156,0.0498046875,0,0.0,NaN,NaN
1800,0.4275476969778538,0.37805661290824694,0.4275476969778538,0.46657138482355826,0.4275476969778538,0.15817324817180634,0.7386991307139397,7.209295749664307,1350.93994140625,NaN,-0.01,0.11492346972227097,0.048236,574.5747390985489,572.6537780761719,1.9209538735449314,0.05230967700481415,-3400.0594482421875,3.755323797603821,1.3013026108446997e-06,99.98526000976562,0.0498046875,0,0.005,NaN,NaN
2000,0.3536812085658312,0.37581309109034794,0.3536812085658312,0.5092578539213991,0.3536812085658312,0.059662383049726486,0.6563387829810381,9.645729064941406,15454.6298828125,NaN,-0.01,0.11469458788633347,0.04804,240.6203784942627,238.16419982910156,2.456179054453969,0.051999252289533615,-3400.0594482421875,1.434994887785378,2.1775222665153186e-05,99.98995208740234,0.0498046875,0,0.005,NaN,NaN
2200,0.38212546706199646,0.3704270562166541,0.38212546706199646,0.49281197843218527,0.38212546706199646,0.09760137647390366,0.6870879326015711,1.9958873987197876,6.358729839324951,NaN,-0.01,0.11447098851203918,0.047844000000000005,365.8398608267307,365.26769256591797,0.5721728801727295,0.05125401169061661,-3400.0594482421875,33.51899267846424,2.0307560302353353e-05,99.98713684082031,0.0498046875,0,0.01,NaN,NaN
2400,0.4070645421743393,0.3664375729788886,0.4070645421743393,0.4783937195055657,0.4070645421743393,0.1308647245168686,0.7150266356766224,9.74931526184082,17141.484375,NaN,-0.01,0.11418110132217407,0.047648,481.6021695137024,479.0666961669922,2.5354773551225662,0.050702013075351715,-3400.0594482421875,1.7945264368671943,2.3100844440570396e-05,99.9847640991211,0.0498046875,0,0.01,NaN,NaN
2600,0.3477024668827653,0.3728590527550631,0.3477024668827653,0.5125974879816143,0.3477024668827653,0.0517546646296978,0.6499024927616119,4.792792320251465,119.63774871826172,NaN,-0.01,0.11378160119056702,0.047452,210.89628767967224,209.65927124023438,1.2370140785351396,0.05159051716327667,-3400.0594482421875,9.04915724569052,2.7859172471730517e-05,99.9764404296875,0.0498046875,0,0.01,NaN,NaN
2800,0.3411442106589675,0.38200251165014126,0.3411442106589675,0.5164601805835923,0.3411442106589675,0.042966894805431366,0.6431046081706882,9.191076278686523,9808.2041015625,NaN,-0.01,0.1132778748869896,0.047256,182.64510488510132,180.31511306762695,2.3299942379817367,0.05285564810037613,-3400.0594482421875,1.5175521274253332,3.606829222038692e-05,99.98562622070312,0.0498046875,0,0.005,NaN,NaN
3000,0.3405633009970188,0.37338274583716957,0.3405633009970188,0.5168034821461157,0.3405633009970188,0.04218686372041702,0.6425074115395546,7.1457390785217285,1267.6888427734375,NaN,-0.01,0.11277633905410767,0.047060000000000005,180.51757490634918,178.69950103759766,1.8180749155580997,0.051662977784872055,-3400.0594482421875,3.182432575206384,3.192441898217936e-05,99.98677825927734,0.0498046875,0,0.0,NaN,NaN
3200,0.3301875260658562,0.37878576510970424,0.3301875260658562,0.5228198632529825,0.3301875260658562,0.02833743393421173,0.6317862276919186,7.567798137664795,1933.875,NaN,-0.01,0.11197048425674438,0.046864,131.88807380199432,129.97487258911133,1.9132026103325188,0.052410565316677094,-3400.0594482421875,2.357726428167235,0.00010555861006989164,99.9899673461914,0.0498046875,0,0.0,NaN,NaN
3400,0.5025649070739746,0.37696849203526844,0.5025649070739746,0.4232435656210874,0.5025649070739746,0.2582109868526459,0.8310979753732681,5.450464725494385,231.8663330078125,NaN,-0.01,0.10989926755428314,0.046668,910.3581911325455,908.8019104003906,1.5562744140625,0.05215910077095032,-3400.0594482421875,10.307142426227546,0.00039943466451360614,99.98213195800781,0.0498046875,0,0.005,NaN,NaN
3600,0.40307627245783806,0.3795835124144423,0.40307627245783806,0.48070894271696113,0.40307627245783806,0.12554508447647095,0.7105012498795986,9.419975280761719,12331.28125,NaN,-0.01,0.05279986187815666,0.046472,457.7625560760498,455.3134002685547,2.4491526298224926,0.052109040319919586,-3400.0594482421875,3.8028685802374587,0.09769664405821327,99.98517608642578,0.0498046875,0,0.01,NaN,NaN
3800,0.4194428436458111,0.3689348752442334,0.4194428436458111,0.4712908053346753,0.4194428436458111,0.14735768735408783,0.7292852587997913,9.307904243469238,11023.8173828125,NaN,-0.01,0.020001687109470367,0.046276000000000005,542.6819870471954,540.2444915771484,2.437494318932295,0.05104754865169525,-3400.0594482421875,2.103334228091587,0.000263580338731606,99.9871826171875,0.0498046875,0,0.0,NaN,NaN
