step,Gt_log,Gt_log_EMA,Sm_log_avg,Sm_log_std,Sm_log_cls_avg,Sm_log_cls_avg_generic,Sm_raw_cls_avg,TaskHead_Sm_log_task,TaskHead_Sm_raw_task,lambda_max_est,lambda_max_EMA,gamma_t,noise_std,module_loss_avg,module_policy_loss_avg,module_pred_loss_avg,meta_loss,module_entropy_avg,module_grad_norm_avg,meta_grad_norm,cls_norm,cls_density,TaskCorrect,TaskAccuracy_Recent,OOD_Accuracy,OOD_Loss
200,1.2265224754810333,1.1803156506031678,1.2265224754810333,0.0053750793778505005,1.2265224754810333,1.2235058546066284,2.4094021916389465,9.728754043579102,16792.61328125,NaN,-0.01,0.1528215855360031,0.049804,4189.847715854645,4186.4979248046875,3.3498178720474243,0.16328704357147217,-3400.0594482421875,179.21493698273002,0.04373711301470422,99.97830963134766,0.0498046875,0,0.004975124378109453,NaN,NaN
400,1.2024768590927124,1.2090525667143466,1.2024768590927124,0.020291067197348762,1.2024768590927124,1.1915282011032104,2.3290390968322754,8.41456413269043,4511.3076171875,NaN,-0.01,0.19998019933700562,0.049608,4072.8900179862976,4069.8927001953125,2.997287154197693,0.16724875569343567,-3400.0594482421875,537.070645517789,0.21345728955605328,99.96073150634766,0.0498046875,0,0.0,NaN,NaN
600,1.1386875212192535,1.169506407026142,1.1386875212192535,0.062303117240235954,1.1386875212192535,1.1065361499786377,2.128788322210312,4.916934013366699,135.5832061767578,NaN,-0.01,0.1999845802783966,0.049412000000000005,3790.716171979904,3788.6571044921875,2.059135526418686,0.16181834042072296,-3400.0594482421875,1045.5679555325767,0.005124516560950679,99.94798278808594,0.0498046875,0,0.005,NaN,NaN
800,0.76714738458395,0.9525481341631105,0.76714738458395,0.44711615705581836,0.76714738458395,0.611027717590332,1.3498461982235312,8.12928295135498,3391.365478515625,NaN,-0.01,0.19998085498809814,0.049216,2147.7593829631805,2145.268753051758,2.4905915185809135,0.131797656416893,-3400.0594482421875,340.8270499196515,0.03420534533268495,99.9736557006836,0.0498046875,0,0.005,NaN,NaN
1000,0.40243321657180786,0.5466320239585216,0.40243321657180786,0.4811642131020594,0.40243321657180786,0.12470396608114243,0.7098052222281694,6.804632186889648,901.0158081054688,NaN,-0.01,0.1999567300081253,0.04902,464.6749129295349,462.88023376464844,1.7946860194206238,0.07562573999166489,-3400.0594482421875,4.0527489045817795,0.061735448283528206,99.98173522949219,0.0498046875,0,0.01,NaN,NaN
1200,0.3525083987042308,0.3960628963119817,0.3525083987042308,0.509805010757121,0.3525083987042308,0.05817259103059769,0.6549617545679212,8.288126945495605,3975.3798828125,NaN,-0.01,0.19974863529205322,0.048824000000000006,234.42861437797546,232.31295013427734,2.115661176852882,0.05468229949474335,-3400.0594482421875,2.3095364424695717,0.15918528658140949,99.97431945800781,0.0498046875,0,0.0,NaN,NaN
1400,0.33049550699070096,0.3765153390988342,0.33049550699070096,0.5225899555553535,0.33049550699070096,0.028779825195670128,0.632047294639051,6.442191123962402,626.7808227539062,NaN,-0.01,0.1840325891971588,0.048628000000000005,133.37840056419373,131.74626922607422,1.6321326498873532,0.052096303552389145,-3400.0594482421875,4.5482710183948925,0.002064634194165723,99.9832534790039,0.0498046875,0,0.005,NaN,NaN
1600,0.3666077870875597,0.3788352338841161,0.3666077870875597,0.5017421138410598,0.3666077870875597,0.0769270658493042,0.6701261848211288,7.369014263153076,1585.06982421875,NaN,-0.01,0.18400418758392334,0.048432,296.6552494764328,294.7553024291992,1.8999488670378923,0.052417390048503876,-3400.0594482421875,3.4158017130388996,0.0008357244592327321,99.98377227783203,0.0498046875,0,0.005,NaN,NaN
1800,0.3267692350782454,0.3820329941735877,0.3267692350782454,0.5247375908313463,0.3267692350782454,0.023812299594283104,0.6282190005294979,4.750865936279297,114.68438720703125,NaN,-0.01,0.1840859353542328,0.048236,116.22051525115967,115.01493835449219,1.2055757069028914,0.052859820425510406,-3400.0594482421875,8.391935917856722,0.001346851179998832,99.98307800292969,0.0498046875,0,0.0,NaN,NaN
2000,0.3612072989344597,0.3848236692559053,0.3612072989344597,0.5048165392022903,0.3612072989344597,0.0697518140077591,0.6642699483782053,3.3903310298919678,28.6757755279541,NaN,-0.01,0.18419396877288818,0.04804,272.88714879751205,271.9872512817383,0.899896614253521,0.05324599891901016,-3400.0594482421875,18.70432647581103,0.00012402917406139353,99.97840881347656,0.0498046875,0,0.005,NaN,NaN
2200,0.3393910173326731,0.37436147982569057,0.3393910173326731,0.5174665085597271,0.3393910173326731,0.040631767362356186,0.6412712587043643,8.689159393310547,5937.1875,NaN,-0.01,0.1835317611694336,0.047844000000000005,172.96918392181396,170.76641845703125,2.202763671055436,0.05179837346076965,-3400.0594482421875,1.9976456599685184,0.0010233815835251246,99.98509979248047,0.0498046875,0,0.015,NaN,NaN
