step,Gt_log,Gt_log_EMA,Sm_log_avg,Sm_log_std,Sm_log_cls_avg,Sm_raw_cls_avg,lambda_max_est,lambda_max_EMA,gamma_t,noise_std,module_loss_avg,module_policy_loss_avg,module_pred_loss_avg,meta_loss,module_entropy_avg,module_grad_norm_avg,meta_grad_norm,cls_norm,cls_density,OOD_Accuracy,OOD_Loss
0,0.15865904465317726,0.15865904465317726,0.15865904465317726,0.0005017133009406799,0.15865904465317726,0.1719384305179119,NaN,-0.01,0.11124968528747559,0.05,-502.55603790283203,-502.7146911621094,0.15865904465317726,0.02194969356060028,2972.84130859375,0.010210889949061667,0.003612258860527038,26.352109909057617,0.0498046875,NaN,NaN
1,0.23325436189770699,0.15940499782562256,0.23325436189770699,0.013035197005731275,0.23325436189770699,0.26281043887138367,NaN,-0.01,0.11087282001972198,0.0499951,-716.7848205566406,-717.01806640625,0.23325436189770699,0.02205590531229973,2972.84130859375,0.4209941521167724,0.0007132457465514779,31.886062622070312,0.0498046875,NaN,NaN
2,0.26710865646600723,0.1604820344120264,0.26710865646600723,0.025039401171988846,0.26710865646600723,0.3065958172082901,NaN,-0.01,0.11094631999731064,0.049990200000000005,-822.2899627685547,-822.5570678710938,0.26710865646600723,0.022202571853995323,2972.84130859375,0.755908815394605,0.003386798008460674,34.039363861083984,0.0498046875,NaN,NaN
3,0.3007780835032463,0.16188499490293862,0.3007780835032463,0.032284812023795635,0.3007780835032463,0.35162241011857986,NaN,-0.01,0.11115627735853195,0.0499853,-918.3418121337891,-918.6425933837891,0.3007780835032463,0.022396454587578773,2972.84130859375,0.8923771072908321,0.0035969730538211956,36.251338958740234,0.0498046875,NaN,NaN
4,0.33361925184726715,0.1636023374723819,0.33361925184726715,0.02976959239293778,0.33361925184726715,0.39663730561733246,NaN,-0.01,0.11137645691633224,0.0499804,-1026.991943359375,-1027.3255462646484,0.33361925184726715,0.022634917870163918,2972.84130859375,1.290414756752977,0.0030177614444634373,38.73836135864258,0.0498046875,NaN,NaN
5,0.343383327126503,0.1654001473689231,0.343383327126503,0.029485463034658592,0.343383327126503,0.4103288874030113,NaN,-0.01,0.11156754940748215,0.049975500000000006,-1054.0265502929688,-1054.3699188232422,0.343383327126503,0.022884447127580643,2972.84130859375,1.4103243698799934,0.002327458044168751,39.472373962402344,0.0498046875,NaN,NaN
6,0.3424682840704918,0.1671708287359388,0.3424682840704918,0.030132178608595354,0.3424682840704918,0.4090665653347969,NaN,-0.01,0.11172464489936829,0.049970600000000004,-1050.9695434570312,-1051.312026977539,0.3424682840704918,0.02312992326915264,2972.84130859375,1.6101941419052204,0.0017560662461513262,39.391971588134766,0.0498046875,NaN,NaN
7,0.3432493135333061,0.16893161358391248,0.3432493135333061,0.026878681554737095,0.3432493135333061,0.4100346118211746,NaN,-0.01,0.11185335367918015,0.0499657,-1048.078598022461,-1048.4218292236328,0.3432493135333061,0.023373814299702644,2972.84130859375,1.5888055267952472,0.001340004257706285,39.62455368041992,0.0498046875,NaN,NaN
8,0.33441266417503357,0.17058642408982372,0.33441266417503357,0.022977873636422293,0.33441266417503357,0.3974916711449623,NaN,-0.01,0.1119605079293251,0.0499608,-1017.0392913818359,-1017.3737030029297,0.33441266417503357,0.0236029215157032,2972.84130859375,1.4196452771162706,0.001048786392343979,39.16426086425781,0.0498046875,NaN,NaN
9,0.34791846573352814,0.17235974450626076,0.34791846573352814,0.024701183376454786,0.34791846573352814,0.41655296087265015,NaN,-0.01,0.1120520681142807,0.049955900000000004,-1067.9752502441406,-1068.3231964111328,0.34791846573352814,0.023848360404372215,2972.84130859375,1.6114179219162805,0.0008522866634949276,40.0537223815918,0.0498046875,NaN,NaN
10,0.3462427705526352,0.1740985747667245,0.3462427705526352,0.027837439242411617,0.3462427705526352,0.41429951041936874,NaN,-0.01,0.11213143914937973,0.049951,-1058.9712371826172,-1059.3174743652344,0.3462427705526352,0.024088997393846512,2972.84130859375,1.332518753794559,0.0007061351373980768,39.839515686035156,0.0498046875,NaN,NaN
11,0.3661414459347725,0.176019003478405,0.3661414459347725,0.02961786121931758,0.3661414459347725,0.44279906153678894,NaN,-0.01,0.11220153421163559,0.0499461,-1114.6133117675781,-1114.9794311523438,0.3661414459347725,0.024354740977287292,2972.84130859375,1.628419152125308,0.0006014231882827243,41.19544219970703,0.0498046875,NaN,NaN
12,0.38071364164352417,0.17806594986005617,0.38071364164352417,0.025960707239576036,0.38071364164352417,0.46382660418748856,NaN,-0.01,0.11226349323987961,0.049941200000000005,-1155.8533020019531,-1156.2340393066406,0.38071364164352417,0.024637987837195396,2972.84130859375,2.040589644840702,0.0005115780513822107,42.366615295410156,0.0498046875,NaN,NaN
13,0.3778427243232727,0.18006371760468834,0.3778427243232727,0.02987329491233705,0.3778427243232727,0.4597920849919319,NaN,-0.01,0.11231828480958939,0.0499363,-1158.3150024414062,-1158.6928405761719,0.3778427243232727,0.024914423003792763,2972.84130859375,1.8568086391385674,0.00043380576588840836,42.02348327636719,0.0498046875,NaN,NaN
14,0.3942253664135933,0.1822053340927774,0.3942253664135933,0.02956096751334311,0.3942253664135933,0.4838903024792671,NaN,-0.01,0.11236724257469177,0.0499314,-1205.2703857421875,-1205.6646423339844,0.3942253664135933,0.025210754945874214,2972.84130859375,1.8728197877823565,0.00037375996355883194,43.193267822265625,0.0498046875,NaN,NaN
15,0.3640359491109848,0.18402364024295947,0.3640359491109848,0.0260568651718519,0.3640359491109848,0.43961943686008453,NaN,-0.01,0.1124105229973793,0.049926500000000006,-1115.5350036621094,-1115.8990478515625,0.3640359491109848,0.025462351739406586,2972.84130859375,2.49346868519126,0.000313820464199331,41.15873336791992,0.0498046875,NaN,NaN
16,0.4048130437731743,0.18623153427826164,0.4048130437731743,0.02786553420724099,0.4048130437731743,0.4996105059981346,NaN,-0.01,0.11245004087686539,0.049921600000000003,-1240.1671752929688,-1240.5719604492188,0.4048130437731743,0.025767851620912552,2972.84130859375,2.447397279564293,0.00028125064130378984,43.95686340332031,0.0498046875,NaN,NaN
17,0.4153893515467644,0.1885231124509467,0.4153893515467644,0.023058246041918896,0.4153893515467644,0.515366792678833,NaN,-0.01,0.112484410405159,0.0499167,-1255.1914672851562,-1255.6068725585938,0.4153893515467644,0.02608492784202099,2972.84130859375,2.060947796755118,0.00022622351463748788,44.8650016784668,0.0498046875,NaN,NaN
18,0.40238944441080093,0.19066177577054522,0.40238944441080093,0.02190667803101815,0.40238944441080093,0.4957554489374161,NaN,-0.01,0.11251392960548401,0.049911800000000006,-1233.9793090820312,-1234.3817138671875,0.40238944441080093,0.02638084627687931,2972.84130859375,2.4979511132067684,0.00017387000792936847,44.047767639160156,0.0498046875,NaN,NaN
19,0.4177282080054283,0.19293244009289406,0.4177282080054283,0.022851501021986437,0.4177282080054283,0.5189079120755196,NaN,-0.01,0.11253966391086578,0.049906900000000004,-1269.1494140625,-1269.567138671875,0.4177282080054283,0.026695027947425842,2972.84130859375,2.387794896184452,0.0001368534845287813,45.05313491821289,0.0498046875,NaN,NaN
20,0.4416102021932602,0.19541921771389772,0.4416102021932602,0.02432685273795961,0.4416102021932602,0.5556739270687103,NaN,-0.01,0.11256128549575806,0.049902,-1336.2042846679688,-1336.6459045410156,0.4416102021932602,0.027039116248488426,2972.84130859375,3.1506473121833483,9.319249589196432e-05,46.5950927734375,0.0498046875,NaN,NaN
21,0.41928692162036896,0.19765789475296242,0.41928692162036896,0.02516719551401877,0.41928692162036896,0.5213630273938179,NaN,-0.01,0.11257826536893845,0.0498971,-1282.8145141601562,-1283.2338256835938,0.41928692162036896,0.027348868548870087,2972.84130859375,2.7669938559253375,3.996320165174238e-05,45.08966064453125,0.0498046875,NaN,NaN
22,0.4424137994647026,0.20010545380007982,0.4424137994647026,0.023125580717789467,0.4424137994647026,0.5568795651197433,NaN,-0.01,0.11259199678897858,0.049892200000000005,-1348.5455017089844,-1348.9879150390625,0.4424137994647026,0.027687523514032364,2972.84130859375,2.563495050876473,7.772199309988704e-06,46.71302795410156,0.0498046875,NaN,NaN
23,0.43706339597702026,0.20247503322184923,0.43706339597702026,0.022924743922210247,0.43706339597702026,0.5485646575689316,NaN,-0.01,0.11260167509317398,0.0498873,-1319.6361999511719,-1320.0732421875,0.43706339597702026,0.028015388175845146,2972.84130859375,2.4859903547282816,3.8411692087692584e-05,46.36857223510742,0.0498046875,NaN,NaN
24,0.45805561542510986,0.20503083904388184,0.45805561542510986,0.021201289205929577,0.45805561542510986,0.5813551843166351,NaN,-0.01,0.11260786652565002,0.0498824,-1392.6499633789062,-1393.1080322265625,0.45805561542510986,0.028369024395942688,2972.84130859375,2.7969737069503324,7.655350866607693e-05,47.832008361816406,0.0498046875,NaN,NaN
25,0.4345990866422653,0.20732652151986566,0.4345990866422653,0.02488626965274123,0.4345990866422653,0.5448266267776489,NaN,-0.01,0.11260994523763657,0.049877500000000005,-1314.4979858398438,-1314.9325866699219,0.4345990866422653,0.028686659410595894,2972.84130859375,2.8332551071097227,0.00012596413320749639,46.09641647338867,0.0498046875,NaN,NaN
26,0.41766564548015594,0.20942991275946857,0.41766564548015594,0.026095637305334964,0.41766564548015594,0.5189351513981819,NaN,-0.01,0.1126091405749321,0.0498726,-1266.4550170898438,-1266.8726806640625,0.41766564548015594,0.028977693989872932,2972.84130859375,2.5791655129797215,0.00015530818016453254,44.93410110473633,0.0498046875,NaN,NaN
27,0.4127748981118202,0.2114633626129921,0.4127748981118202,0.026848375243651468,0.4127748981118202,0.5115551128983498,NaN,-0.01,0.1126060038805008,0.0498677,-1255.1747131347656,-1255.5874633789062,0.4127748981118202,0.029259052127599716,2972.84130859375,2.315872029072316,0.00017593144674203298,44.58981704711914,0.0498046875,NaN,NaN
28,0.3986348956823349,0.2133350779436855,0.3986348956823349,0.02756756343037107,0.3986348956823349,0.4903617203235626,NaN,-0.01,0.11260050535202026,0.049862800000000006,-1208.7742004394531,-1209.1728210449219,0.3986348956823349,0.02951803058385849,2972.84130859375,2.0186408012068724,0.0001981652131187907,43.5534782409668,0.0498046875,NaN,NaN
29,0.37610065937042236,0.21496273375795288,0.37610065937042236,0.028055594711295862,0.37610065937042236,0.45717325061559677,NaN,-0.01,0.11259299516677856,0.049857900000000004,-1135.5671081542969,-1135.9432067871094,0.37610065937042236,0.029743241146206856,2972.84130859375,2.0107175584495174,0.00021506279290644801,41.99879455566406,0.0498046875,NaN,NaN
30,0.3693637400865555,0.2165067438212389,0.3693637400865555,0.029311203532405017,0.3693637400865555,0.4474423751235008,NaN,-0.01,0.11258405447006226,0.049853,-1138.7019653320312,-1139.0713195800781,0.3693637400865555,0.02995687909424305,2972.84130859375,1.773071252543173,0.0002228167838038613,41.48814392089844,0.0498046875,NaN,NaN
31,0.366213321685791,0.2180038095998844,0.366213321685791,0.031932411479074274,0.366213321685791,0.44300732016563416,NaN,-0.01,0.1125735267996788,0.0498481,-1121.3635864257812,-1121.7297973632812,0.366213321685791,0.030164014548063278,2972.84130859375,1.8971987149448997,0.00023429347792565082,41.1524772644043,0.0498046875,NaN,NaN
32,0.36431092768907547,0.21946688078077634,0.36431092768907547,0.03315956295771509,0.36431092768907547,0.4403233453631401,NaN,-0.01,0.11256124079227448,0.049843200000000004,-1106.6609497070312,-1107.0252380371094,0.36431092768907547,0.030366450548171997,2972.84130859375,1.7961054520894584,0.0002499806011150856,40.929176330566406,0.0498046875,NaN,NaN
33,0.36178210377693176,0.22089003301073787,0.36178210377693176,0.03604921108739168,0.36178210377693176,0.43683216720819473,NaN,-0.01,0.11254704743623734,0.0498383,-1110.2015075683594,-1110.5632934570312,0.36178210377693176,0.030563363805413246,2972.84130859375,1.7530964044080415,0.00026881061734698237,40.65676498413086,0.0498046875,NaN,NaN
34,0.3666284680366516,0.22234741736099703,0.3666284680366516,0.03338735758767868,0.3666284680366516,0.4436763897538185,NaN,-0.01,0.112530916929245,0.0498334,-1124.7303771972656,-1125.0970153808594,0.3666284680366516,0.030765017494559288,2972.84130859375,2.0487774238919503,0.0002891525326350109,41.10771560668945,0.0498046875,NaN,NaN
35,0.37939655035734177,0.22391790869096048,0.37939655035734177,0.03149552937437091,0.37939655035734177,0.4621361792087555,NaN,-0.01,0.11251254379749298,0.049828500000000005,-1162.9920349121094,-1163.3714294433594,0.37939655035734177,0.030982308089733124,2972.84130859375,2.2081450854425,0.0003154479968763887,42.0658073425293,0.0498046875,NaN,NaN
36,0.36814673244953156,0.2253601969285462,0.36814673244953156,0.03296740572880891,0.36814673244953156,0.4458494707942009,NaN,-0.01,0.1124914288520813,0.0498236,-1130.5646667480469,-1130.9328308105469,0.36814673244953156,0.03118187189102173,2972.84130859375,2.1055735148300543,0.0003507296132653848,41.245121002197266,0.0498046875,NaN,NaN
37,0.3878577724099159,0.2269851726833599,0.3878577724099159,0.03245801248910581,0.3878577724099159,0.47460635006427765,NaN,-0.01,0.11246813088655472,0.0498187,-1192.2009582519531,-1192.5888061523438,0.3878577724099159,0.0314067043364048,2972.84130859375,2.2873032094369674,0.00037648969903030015,42.668731689453125,0.0498046875,NaN,NaN
38,0.386206790804863,0.22857738886457493,0.386206790804863,0.03087585455522488,0.386206790804863,0.4720987230539322,NaN,-0.01,0.11244181543588638,0.049813800000000005,-1173.9605407714844,-1174.3467407226562,0.386206790804863,0.03162700682878494,2972.84130859375,2.053541465816819,0.0004172242027544945,42.63429641723633,0.0498046875,NaN,NaN
39,0.38222549855709076,0.23011386996150007,0.38222549855709076,0.031982888325413246,0.38222549855709076,0.46630144864320755,NaN,-0.01,0.1124127209186554,0.0498089,-1162.9458923339844,-1163.328125,0.38222549855709076,0.03183959797024727,2972.84130859375,1.8820791281279292,0.00045339071433305107,42.24224090576172,0.0498046875,NaN,NaN
40,0.3748316839337349,0.2315610481012224,0.3748316839337349,0.032817124429596216,0.3748316839337349,0.45553993433713913,NaN,-0.01,0.11238104104995728,0.049804,-1147.5836791992188,-1147.9585266113281,0.3748316839337349,0.0320398323237896,2972.84130859375,1.4113650054233808,0.00048562385306174914,41.722896575927734,0.0498046875,NaN,NaN
41,0.38150787353515625,0.23306051635556174,0.38150787353515625,0.03297457450345377,0.38150787353515625,0.4652976244688034,NaN,-0.01,0.11234700679779053,0.049799100000000006,-1167.149169921875,-1167.5306701660156,0.38150787353515625,0.03224730119109154,2972.84130859375,1.5920948835262227,0.0005134373854751766,42.18864822387695,0.0498046875,NaN,NaN
