step,Gt_log,Gt_log_EMA,Sm_log_avg,Sm_log_std,Sm_log_cls_avg,Sm_log_cls_avg_generic,Sm_raw_cls_avg,TaskHead_Sm_log_task,TaskHead_Sm_raw_task,lambda_max_est,lambda_max_EMA,gamma_t,noise_std,module_loss_avg,module_policy_loss_avg,module_pred_loss_avg,meta_loss,module_entropy_avg,module_grad_norm_avg,meta_grad_norm,cls_norm,cls_density,TaskCorrect,TaskAccuracy_Recent,OOD_Accuracy,OOD_Loss
2000,0.2910402347333729,0.29073122875289265,0.2910402347333729,0.5013944011875834,0.2910402347333729,0.001560042961500585,0.5482403091446031,3.919351100921631,30.794647216796875,NaN,-0.01,0.19999675452709198,0.04804,4483.119097709656,4481.5037660598755,1.6152767504099756,0.040226928889751434,-4533.41259765625,297.14666852076147,0.00048815912960800727,99.87211608886719,0.0498046875,0,0.005,NaN,NaN
2200,0.2887568752048537,0.28930761247095854,0.2887568752048537,0.49689515588440086,0.2887568752048537,0.0018743250984698534,0.5404852916835807,8.272570610046387,3933.02001953125,NaN,-0.01,0.19999666512012482,0.047844000000000005,9396.515877723694,9393.269081115723,3.2465922971605323,0.04002995043992996,-4533.41259765625,544.0750440722028,0.000874497410500114,99.88086700439453,0.0498046875,0,0.01,NaN,NaN
2400,0.2838524205144495,0.28698947825821175,0.2838524205144495,0.488691739915507,0.2838524205144495,0.0017061131075024605,0.5254203123622574,10.2555570602417,28653.341796875,NaN,-0.01,0.19999650120735168,0.047648,11668.960883140564,11664.972938537598,3.987759943935089,0.039709191769361496,-4533.41259765625,938.3159353941846,0.0017386382556258601,99.8773193359375,0.0498046875,0,0.015,NaN,NaN
2600,0.2855047089396976,0.2858241681008311,0.2855047089396976,0.49222018981397864,0.2855047089396976,0.0013212499907240272,0.5311648269416764,7.623857021331787,2103.396484375,NaN,-0.01,0.19999608397483826,0.047452,8707.900120735168,8704.898648262024,3.0016987672715914,0.03954790532588959,-4533.41259765625,647.2476552738756,0.0041066440806749194,99.88819885253906,0.0498046875,0,0.005,NaN,NaN
2800,0.28338611288927495,0.2842538871720024,0.28338611288927495,0.4878185277689934,0.28338611288927495,0.0017439546063542366,0.5239183930971194,8.248530387878418,3969.107666015625,NaN,-0.01,0.19997772574424744,0.047256,9426.53811264038,9423.3030834198,3.2348918922943994,0.03852282464504242,-4533.41259765625,703.3043350665819,0.40416940347328245,99.87519073486328,0.0498046875,0,0.0,NaN,NaN
3000,0.2821762259118259,0.2825094760261893,0.2821762259118259,0.4859173789280197,0.2821762259118259,0.0016316964756697416,0.5203630403266288,7.5357537269592285,1767.5926513671875,NaN,-0.01,0.18102702498435974,0.047060000000000005,8646.307347297668,8643.339939117432,2.9669958201702684,0.03908932954072952,-4533.41259765625,662.6546643291871,2.1815395409979218e-05,99.87311553955078,0.0498046875,0,0.0,NaN,NaN
3200,0.281009397120215,0.28157700945257197,0.281009397120215,0.48435931190718123,0.281009397120215,0.0013644181890413165,0.5171948639908805,7.028866767883301,1200.5784912109375,NaN,-0.01,0.18098223209381104,0.046864,7970.429100036621,7967.6527099609375,2.7763297663186677,0.03896030783653259,-4533.41259765625,651.4158578063301,2.7927850167108414e-05,99.89759063720703,0.0498046875,0,0.0,NaN,NaN
3400,0.28027190375723876,0.28082851069258447,0.28027190375723876,0.482702720015499,0.28027190375723876,0.0015833590878173709,0.5146009285817854,1.0334086418151855,0.3134442865848541,NaN,-0.01,0.1809389889240265,0.046668,1201.710373878479,1201.1826801300049,0.5276641627569916,0.03885674104094505,-4533.41259765625,97.6585028124305,3.1536347714194674e-05,99.88033294677734,0.0498046875,0,0.0,NaN,NaN
3600,0.278161230875412,0.2793084195134824,0.278161230875412,0.47924572399394577,0.278161230875412,0.0014685833593830466,0.5083573164884001,7.385639667510986,1713.16455078125,NaN,-0.01,0.18087238073349,0.046472,8367.154503822327,8364.245750427246,2.90869566956826,0.03864641487598419,-4533.41259765625,726.1223952633653,5.035928500441099e-05,99.89329528808594,0.0498046875,0,0.005,NaN,NaN
3800,0.2760993700067047,0.27737754532478487,0.2760993700067047,0.47522412149375226,0.2760993700067047,0.0017285957001149654,0.5017472776817158,7.818634033203125,2655.1953125,NaN,-0.01,0.1807892918586731,0.046276000000000005,8839.154612541199,8836.084628105164,3.0700375666638138,0.0383792519569397,-4533.41259765625,751.0419841138877,5.9057289231845716e-05,99.90083312988281,0.0498046875,0,0.0,NaN,NaN
4000,0.2735735132591799,0.27458742718363666,0.2735735132591799,0.47121699119677324,0.2735735132591799,0.0015162567142397165,0.49451716369367205,4.725485801696777,89.44149780273438,NaN,-0.01,0.18067511916160583,0.04608,5448.686430931091,5446.777659416199,1.9088439620682038,0.03799319639801979,-4533.41259765625,415.9684474352063,4.870813745954305e-05,99.89682006835938,0.0498046875,0,0.005,NaN,NaN
4200,0.27280339907156304,0.2729967174947801,0.27280339907156304,0.46942079554320254,0.27280339907156304,0.0017831763252615929,0.4918381239695009,9.872395515441895,19726.87109375,NaN,-0.01,0.1805882304906845,0.045884,11333.53535747528,11329.696798324585,3.838550256245071,0.037773098796606064,-4533.41259765625,1061.4672320876734,3.461261179268493e-05,99.89032745361328,0.0498046875,0,0.01,NaN,NaN
4400,0.2724055661819875,0.2726374784390212,0.2724055661819875,0.4687624977702708,0.2724055661819875,0.0017654120456427336,0.49068674552836455,9.69132137298584,16470.08203125,NaN,-0.01,0.1805327981710434,0.045688000000000006,10947.966249465942,10944.196056365967,3.7704481489490718,0.037723395973443985,-4533.41259765625,973.5815527780913,3.2142234732718185e-05,99.8887939453125,0.0498046875,0,0.0,NaN,NaN
4600,0.2695078661199659,0.27063926829934226,0.2695078661199659,0.46401585472714924,0.2695078661199659,0.0016081876819953322,0.4823930168058723,9.880654335021973,19967.1953125,NaN,-0.01,0.18042194843292236,0.045492000000000005,11207.394842147827,11203.554394721985,3.839999547111802,0.03744690865278244,-4533.41259765625,1105.9719630621898,6.661673065456e-05,99.9021987915039,0.0498046875,0,0.0,NaN,NaN
4800,0.26928121148375794,0.2694309345103578,0.26928121148375794,0.46291638910812943,0.26928121148375794,0.0020163101144135,0.4811432374990545,8.147476196289062,3617.793701171875,NaN,-0.01,0.18032240867614746,0.045296,9389.855999946594,9386.665790557861,3.1899441197456326,0.03727971762418747,-4533.41259765625,931.2739836658899,4.861190676650956e-05,99.88626098632812,0.0498046875,0,0.005,NaN,NaN
5000,0.2671874269726686,0.26804232273047185,0.2671874269726686,0.460343549549126,0.2671874269726686,0.0014079551910981536,0.4759226757741999,5.244551181793213,231.56649780273438,NaN,-0.01,0.18020948767662048,0.0451,5965.168214797974,5963.068078041077,2.1003004364611115,0.037087585777044296,-4533.41259765625,595.0033998101185,6.568937554770922e-05,99.91175842285156,0.0498046875,0,0.01,NaN,NaN
5200,0.26815449696732685,0.2684311601819343,0.26815449696732685,0.4610135399782106,0.26815449696732685,0.001988205825909972,0.47790239326423034,8.518356323242188,5247.7041015625,NaN,-0.01,0.18014422059059143,0.044904,9963.21939086914,9959.890520095825,3.328460974007612,0.03714138641953468,-4533.41259765625,850.654165018932,6.10357455997214e-05,99.9083480834961,0.0498046875,0,0.005,NaN,NaN
5400,0.2654212840425316,0.26651237875481004,0.2654212840425316,0.4569702371149862,0.2654212840425316,0.0015893946401774883,0.4705644541827496,2.399009943008423,2.3333704471588135,NaN,-0.01,0.17998333275318146,0.044708000000000005,2760.2397327423096,2759.207398414612,1.0323394302540692,0.0368758924305439,-4533.41259765625,281.3870835130622,9.090152909397258e-05,99.92079162597656,0.0498046875,0,0.005,NaN,NaN
5600,0.26421449476038106,0.26481704126114775,0.26421449476038106,0.4545302542997238,0.26421449476038106,0.0017913300544023514,0.46681843540864065,4.576030731201172,131.49691772460938,NaN,-0.01,0.17980706691741943,0.044512,5211.876195907593,5210.027868270874,1.8481187864817912,0.03664131835103035,-4533.41259765625,495.41006994903915,8.147167877296983e-05,99.88504791259766,0.0498046875,0,0.0,NaN,NaN
