step,Gt_log,Gt_log_EMA,Sm_log_avg,Sm_log_std,Sm_log_cls_avg,Sm_raw_cls_avg,TaskHead_Sm_log_task,TaskHead_Sm_raw_task,lambda_max_est,lambda_max_EMA,gamma_t,noise_std,module_loss_avg,module_policy_loss_avg,module_pred_loss_avg,meta_loss,module_entropy_avg,module_grad_norm_avg,meta_grad_norm,cls_norm,cls_density,OOD_Accuracy,OOD_Loss
2800,0.2610682814847678,0.26398101763808984,0.2610682814847678,0.4391152234492238,0.2610682814847678,0.450115495827049,9.546529769897461,15088.1806640625,NaN,-0.01,0.035072922706604004,0.043140000000000005,144.86150741577148,142.21380424499512,2.6477006643544883,0.03652564436197281,-3619.41650390625,17.259829486473947,0.00010471974628120393,99.79806518554688,0.0498046875,NaN,NaN
3000,0.2581441772636026,0.2596789556404049,0.2581441772636026,0.4315985254535068,0.2581441772636026,0.44020215794444084,7.530190944671631,1459.17919921875,NaN,-0.01,0.03532722592353821,0.04265,131.4513702392578,129.31067848205566,2.1406919432338327,0.035930391401052475,-3619.41650390625,19.4306217808424,9.830374080065713e-05,99.7923355102539,0.0498046875,NaN,NaN
3200,0.2527832370251417,0.2552896946130331,0.2527832370251417,0.42308637899280055,0.2527832370251417,0.4262611703015864,10.125965118408203,26510.578125,NaN,-0.01,0.03559384495019913,0.04216,152.8109130859375,150.02664184570312,2.7842744272202253,0.03532307595014572,-3619.41650390625,20.569873800440476,0.00012560103117936674,99.76739501953125,0.0498046875,NaN,NaN
3400,0.24736970337107778,0.24982398139192508,0.24736970337107778,0.41389727840142027,0.24736970337107778,0.41204313235357404,9.146829605102539,10356.099609375,NaN,-0.01,0.03593108057975769,0.04167,146.4912815093994,143.95720672607422,2.5340771642513573,0.034566812217235565,-3619.41650390625,20.759262968788093,0.0001274376786674256,99.79247283935547,0.0498046875,NaN,NaN
3600,0.24443537881597877,0.24523693668726235,0.24443537881597877,0.4039394305654132,0.24443537881597877,0.401074226712808,8.834027290344238,7708.625,NaN,-0.01,0.03624117374420166,0.04118,150.40161514282227,147.94867324829102,2.4529423057101667,0.03393212705850601,-3619.41650390625,23.22358351513196,0.0001271508741466549,99.7585678100586,0.0498046875,NaN,NaN
3800,0.23715355433523655,0.2405513612167443,0.23715355433523655,0.3986857566450847,0.23715355433523655,0.3874175156233832,10.382142066955566,34160.43359375,NaN,-0.01,0.03657156974077225,0.040690000000000004,151.64115142822266,148.80846118927002,2.832688981667161,0.03328380733728409,-3619.41650390625,21.470148386792708,0.0001212285798256619,99.82624816894531,0.0498046875,NaN,NaN
4000,0.23268783488310874,0.23549437279681665,0.23268783488310874,0.3874369278298547,0.23268783488310874,0.3739911443553865,6.9903645515441895,1435.389892578125,NaN,-0.01,0.03693936765193939,0.0402,124.82852745056152,122.84825134277344,1.9802789131645113,0.03258410096168518,-3619.41650390625,19.81687920934444,0.00015465761223183727,99.81294250488281,0.0498046875,NaN,NaN
4200,0.2318602406885475,0.23303812472091132,0.2318602406885475,0.3837064724795484,0.2318602406885475,0.3705129944719374,6.085859298706055,671.5183715820312,NaN,-0.01,0.03719005733728409,0.03971,120.99078178405762,119.23745346069336,1.753325124969706,0.0322442427277565,-3619.41650390625,22.83725299929089,0.00013052058339697536,99.808349609375,0.0498046875,NaN,NaN
4400,0.22591945971362293,0.2280074243888517,0.22591945971362293,0.3753001147334225,0.22591945971362293,0.3572558010928333,9.716569900512695,17936.126953125,NaN,-0.01,0.037606388330459595,0.039220000000000005,151.95614051818848,149.3010768890381,2.655061964644119,0.03154816851019859,-3619.41650390625,27.11067151392021,0.0001579134371448566,99.8112564086914,0.0498046875,NaN,NaN
4600,0.2191894497955218,0.22266530109540092,0.2191894497955218,0.366248967771839,0.2191894497955218,0.3428167145466432,7.5325493812561035,1451.1253662109375,NaN,-0.01,0.03807346522808075,0.03873,128.0019359588623,125.89960670471191,2.10232682491187,0.030809007585048676,-3619.41650390625,22.79755003197214,0.00015598258807548546,99.8225326538086,0.0498046875,NaN,NaN
4800,0.21399574750103056,0.2170663388164,0.21399574750103056,0.3568995674753269,0.21399574750103056,0.3305501288268715,6.211634159088135,293.15045166015625,NaN,-0.01,0.03858999162912369,0.03824,117.24168586730957,115.47478294372559,1.7669042574707419,0.03003430925309658,-3619.41650390625,19.62511609676716,0.00016139396991184321,99.8418960571289,0.0498046875,NaN,NaN
5000,0.20800094469450414,0.2115884442705122,0.20800094469450414,0.3475342776879648,0.20800094469450414,0.3174820280401036,5.63796854019165,477.8777160644531,NaN,-0.01,0.039136454463005066,0.037750000000000006,108.23123168945312,106.61373710632324,1.6174930797424167,0.02927636355161667,-3619.41650390625,17.779581334952425,0.00015149564951409312,99.83385467529297,0.0498046875,NaN,NaN
5200,0.20279349060729146,0.20615690464068362,0.20279349060729146,0.33842221063584593,0.20279349060729146,0.3058499958133325,7.507097244262695,2291.9970703125,NaN,-0.01,0.039715856313705444,0.03726,126.36103343963623,124.28146648406982,2.079567712265998,0.02852483093738556,-3619.41650390625,23.092986430926153,0.0001636396429966444,99.84013366699219,0.0498046875,NaN,NaN
5400,0.19870238052681088,0.20063179305561427,0.19870238052681088,0.32779195524352894,0.19870238052681088,0.29515298921614885,7.301958084106445,1099.4996337890625,NaN,-0.01,0.040347568690776825,0.03677,129.2761344909668,127.2519416809082,2.024191901553422,0.027760347351431847,-3619.41650390625,25.588146276776083,0.00017429828055139153,99.78943634033203,0.0498046875,NaN,NaN
5600,0.19349197205156088,0.19522099155893535,0.19349197205156088,0.3181187739398408,0.19349197205156088,0.28374759410507977,5.620326042175293,125.51660919189453,NaN,-0.01,0.04102274030447006,0.03628,114.35262870788574,112.75405502319336,1.5985734378919005,0.027011685073375702,-3619.41650390625,21.815884488179464,0.00016096290328453333,99.80924987792969,0.0498046875,NaN,NaN
5800,0.18551157251931727,0.18909978775019307,0.18551157251931727,0.30795362098965157,0.18551157251931727,0.2688533515902236,4.285009384155273,190.07638549804688,NaN,-0.01,0.04180097579956055,0.03579,97.10028457641602,95.84352207183838,1.2567639632616192,0.026164725422859192,-3619.41650390625,19.281627579957743,0.00017445265382406806,99.81543731689453,0.0498046875,NaN,NaN
6000,0.17811654461547732,0.18224454734781287,0.17811654461547732,0.2939916048898017,0.17811654461547732,0.25340905552729964,4.572851181030273,26.986183166503906,NaN,-0.01,0.04268672689795494,0.035300000000000005,101.04082298278809,99.7194938659668,1.3213293547742069,0.025216201320290565,-3619.41650390625,19.39203221485378,0.0002150574818457295,99.80805969238281,0.0498046875,NaN,NaN
6200,0.17604828206822276,0.1776560996606552,0.17604828206822276,0.2871124843442968,0.17604828206822276,0.24794731033034623,8.091195106506348,2820.974365234375,NaN,-0.01,0.04347474128007889,0.03481,138.76304054260254,136.56419563293457,2.198847073595971,0.024581320583820343,-3619.41650390625,32.38718575778549,0.0001767212482972418,99.80426788330078,0.0498046875,NaN,NaN
6400,0.16739852738101035,0.17136933428192855,0.16739852738101035,0.2785812793948809,0.16739852738101035,0.23378055868670344,8.39723014831543,4745.751953125,NaN,-0.01,0.04446256533265114,0.03432,131.22157192230225,128.95486545562744,2.2667061240645126,0.02371145598590374,-3619.41650390625,30.642656749190323,0.00017145201732034058,99.85972595214844,0.0498046875,NaN,NaN
6600,0.16483868774957955,0.16659300635032068,0.16483868774957955,0.26996646048972517,0.16483868774957955,0.22730709821917117,8.937431335449219,7900.279296875,NaN,-0.01,0.04538775235414505,0.03383,143.67534065246582,141.2761459350586,2.399196417303756,0.02305058017373085,-3619.41650390625,33.30478059877054,0.00016566389128264762,99.8280258178711,0.0498046875,NaN,NaN
6800,0.15998655115254223,0.16233209096229592,0.15998655115254223,0.26350963840403013,0.15998655115254223,0.2189713972620666,9.23139762878418,10380.9716796875,NaN,-0.01,0.04634305089712143,0.03334,143.33915519714355,140.8713150024414,2.4678360030520707,0.022461021319031715,-3619.41650390625,34.61377861335692,0.00015811849569584698,99.81526184082031,0.0498046875,NaN,NaN
7000,0.15611034305766225,0.15856592594044233,0.15611034305766225,0.2578214844628194,0.15611034305766225,0.2122102805878967,9.818792343139648,18464.85546875,NaN,-0.01,0.04734179750084877,0.032850000000000004,145.5733823776245,142.96257781982422,2.6108085331507027,0.021939916536211967,-3619.41650390625,31.965553906725788,0.00015778741011377839,99.83634185791016,0.0498046875,NaN,NaN
7200,0.15305576217360795,0.15472800979540863,0.15305576217360795,0.25045468934719317,0.15305576217360795,0.20595002523623407,3.7874085903167725,37.67715072631836,NaN,-0.01,0.04845117777585983,0.03236,94.59263801574707,93.49272918701172,1.0999079395551234,0.021408885717391968,-3619.41650390625,19.584796615319203,0.00016761764560971391,99.82132720947266,0.0498046875,NaN,NaN
7400,0.15076227113604546,0.15140568642463623,0.15076227113604546,0.245605808098456,0.15076227113604546,0.20155154797248542,8.415529251098633,4379.16650390625,NaN,-0.01,0.04963457211852074,0.03187,138.90799522399902,136.65335083007812,2.2546446435153484,0.020949194207787514,-3619.41650390625,35.088426574557936,0.00015671119290554052,99.83738708496094,0.0498046875,NaN,NaN
